plan_id,issuer_name,plan_name,plan_family,plan_year,formulary_group,drug_name_display,therapeutic_category,therapeutic_subcategory,tier,requirements_limits,prior_auth,step_therapy,quantity_limit,age_limit,specialty_flag,non_formulary,medical_benefit,source_file,source_effective_date,notes,covered_flag
AZBLUE-EVERYDAYHEALTH-PROSANO-GOLD-1475,AZ Blue,EverydayHealth Prosano Gold 1475,EverydayHealth Prosano,2026,AZBLUE_EXCHANGE_2026,clonidine hcl er oral tablet extended release 12 hour,Adhd/Anti-Narcolepsy/Anti-Obesity/Anorexiants,Adhd Agent - Selective Alpha Adrenergic Agonists,T3,QL (2 EA per 1 day),False,False,QL (2 EA per 1 day),,False,False,False,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,,True
AZBLUE-EVERYDAYHEALTH-PROSANO-GOLD-1475,AZ Blue,EverydayHealth Prosano Gold 1475,EverydayHealth Prosano,2026,AZBLUE_EXCHANGE_2026,guanfacine hcl er,Adhd/Anti-Narcolepsy/Anti-Obesity/Anorexiants,Adhd Agent - Selective Alpha Adrenergic Agonists,T1b,AG (Min 6 Years),False,False,,AG (Min 6 Years),False,False,False,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,,True
AZBLUE-EVERYDAYHEALTH-PROSANO-GOLD-1475,AZ Blue,EverydayHealth Prosano Gold 1475,EverydayHealth Prosano,2026,AZBLUE_EXCHANGE_2026,atomoxetine hcl oral capsule 10 mg,Adhd/Anti-Narcolepsy/Anti-Obesity/Anorexiants,Adhd Agent - Selective Norepinephrine Reuptake Inhibitor,T1b,AI (Max #900 Mail Order); QL (3 EA per 1 day); AG (Min 6 Years),False,False,QL (3 EA per 1 day),AG (Min 6 Years),False,False,False,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,,True
