issuer_name,source_file,source_effective_date,plan_year_demo,plan_group,therapeutic_category,therapeutic_subcategory,drug_name_display,tier,requirements_limits,prior_auth,step_therapy,quantity_limit,age_limit,specialty_flag,non_formulary,medical_benefit,notes
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Biguanides,"metformin hcl oral tablet 1000 mg, 500 mg",T1a,,False,False,,,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Biguanides,metformin hcl oral tablet 850 mg,T1b,,False,False,,,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Diabetic Other - Combinations,DEX4 ORAL TABLET CHEWABLE 4-6 GM-MG,T1b,,False,False,,,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Diabetic Other,BAQSIMI ONE PACK,T2,QL (2 EA per 30 days),False,False,QL (2 EA per 30 days),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Diabetic Other,BAQSIMI TWO PACK,T2,QL (1 EA per 30 days),False,False,QL (1 EA per 30 days),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Diabetic Other,diazoxide oral,T3,,False,False,,,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Diabetic Other,GLUCAGEN HYPOKIT,T2,,False,False,,,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Diabetic Other,glucagon emergency injection kit,T2,QL (2 EA per 30 days),False,False,QL (2 EA per 30 days),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Diabetic Other,glucagon emergency injection solution reconstituted,T2,QL (2 EA per 30 days),False,False,QL (2 EA per 30 days),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Dipeptidyl Peptidase-4 (Dpp-4) Inhibitors,JANUVIA,T2,AI (Max #90 Mail Order); QL (1 EA per 1 Day); AG (Min 18 Years),False,False,QL (1 EA per 1 Day),AG (Min 18 Years),False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Dipeptidyl Peptidase-4 (Dpp-4) Inhibitors,ONGLYZA,T3,ST (Step Therapy required: at least one of each type of drug in BOTH categories for 3 months each in the last 12 months - Janumet/XR or Janvuvia AND Jentadueto/XR or Tradjenta); QL (1 EA per 1 Day); AG (Min 16 Years),False,True,QL (1 EA per 1 Day),AG (Min 16 Years),False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,TRADJENTA,T2,,False,False,,,False,False,False,
